serveindex,gamesinlead,lastpointindex,aceadvantage,winneradvantage,doublefaultdisadvantage,unforcederrordisadvantage,netwinneradvantage,winningbreakpointadvantage,runningdistanceadvantage,firstserveadvantage
-1,0,-1,0,0,0,0,0,0,-1.5387,-1
1,-1,-1,0,0,0,0,0,0,0.0486,0
1,-1,1,1,1,0,0,0,0,-0.0106000000000001,1
1,-1,1,0,0,0,0,0,0,0.1823,0
1,-1,1,0,0,0,0,0,0,0.0441,0
-1,0,1,0,0,0,0,0,0,2.3827,1
1,0,-1,0,0,0,0,0,0,-1.6358,-1
1,0,1,0,0,0,0,0,0,-0.0514,1
-1,0,1,0,0,0,0,0,0,-0.4393,0
-1,0,-1,0,-1,0,0,0,0,-0.3011,-1
1,0,-1,-1,-1,0,0,0,0,-0.0112,-1
1,0,1,0,0,0,0,1,0,-0.1252,1
-1,0,1,0,0,0,0,0,0,0.3673,1
-1,0,-1,0,0,0,0,0,0,-0.148,-1
1,0,-1,0,0,0,1,0,0,0.0488,0
1,0,1,0,1,0,0,0,0,0.8553,1
-1,0,1,0,1,0,0,1,0,0.2762,1
-1,0,-1,0,0,0,0,-1,0,-0.523,-1
1,0,-1,0,0,0,0,0,0,-0.1105,-1
1,0,-1,0,0,0,0,0,0,-0.9008,1
1,0,1,0,0,0,-1,0,0,2.0949,0
1,0,-1,0,0,0,0,-1,0,0.802,0
1,0,1,0,0,0,0,0,0,0.00110000000000001,0
1,0,-1,0,0,1,1,0,0,0.1244,0
1,0,1,0,0,0,0,0,0,0.173,1
-1,1,1,0,0,0,0,0,0,0.8782,1
-1,1,1,0,0,0,0,1,0,-0.0180999999999997,-1
-1,1,-1,0,0,0,0,-1,0,-0.2602,-1
-1,1,-1,0,-1,0,0,0,0,-3.2314,0
-1,1,1,0,0,0,0,0,0,-0.2846,-1
-1,1,1,0,0,0,-1,0,0,-0.3364,-1
-1,1,-1,0,-1,0,0,-1,0,-0.0566000000000001,-1
-1,1,1,0,0,0,-1,0,0,-0.2041,0
-1,1,-1,0,0,0,0,0,0,-1.9513,-1
-1,1,-1,0,-1,0,0,0,0,-0.2989,-1
-1,1,1,0,0,-1,-1,0,0,-0.5255,0
-1,1,-1,0,0,0,0,0,0,-0.2991,-1
1,0,-1,0,-1,0,0,-1,0,-0.2423,-1
1,0,1,0,1,0,0,0,0,0.8025,0
1,0,1,0,1,0,0,0,0,0.8321,1
1,0,-1,0,-1,0,0,0,0,0.4057,1
1,0,-1,0,0,0,1,0,0,-0.1984,0
1,0,1,0,0,0,-1,0,0,0.0011000000000001,0
-1,1,1,1,1,0,0,0,0,1.6616,1
-1,1,1,0,0,0,-1,0,0,0.3486,0
-1,1,1,0,1,0,0,0,0,-0.3027,-1
-1,1,-1,0,0,0,1,0,0,-0.8349,0
-1,1,1,0,0,0,-1,0,0,-0.4733,-1
1,2,1,0,0,0,0,0,1,-0.3621,-1
1,2,1,1,1,0,0,0,0,0.0268,1
1,2,1,0,1,0,0,0,0,0.1786,1
1,2,1,0,0,0,-1,0,0,0.1594,0
1,2,-1,0,0,1,1,0,0,0.0664,0
-1,3,1,1,1,0,0,0,0,0.0299,1
-1,3,1,0,0,0,-1,0,0,-0.2054,0
-1,3,-1,0,-1,0,0,0,0,-0.029,-1
-1,3,-1,0,0,0,0,0,0,-0.0544,0
-1,3,1,0,0,0,0,1,0,0.3112,0
-1,3,-1,0,-1,0,0,0,0,0.0262,0
1,2,-1,0,0,0,0,-1,0,-0.5024,-1
1,2,1,0,1,0,0,0,0,0.1632,1
1,2,1,0,0,0,0,0,0,0.216,1
1,2,1,0,0,0,-1,0,0,0.0885,0
-1,3,1,1,1,0,0,0,0,0.0081,1
-1,3,-1,0,0,0,0,0,0,-0.2268,-1
-1,3,1,0,0,0,-1,0,0,-0.0988,-1
-1,3,-1,0,0,0,0,-1,0,-1.76,-1
-1,3,1,0,1,0,0,0,0,-0.0256999999999998,-1
-1,3,1,0,0,0,-1,0,0,-0.4297,-1
-1,3,-1,-1,-1,0,0,0,0,0.0043,-1
-1,3,-1,-1,-1,0,0,0,0,-0.0898,-1
1,2,-1,-1,-1,0,0,0,0,-0.0406,-1
1,2,1,0,0,0,0,0,0,2.8754,0
1,2,1,0,1,0,0,1,0,0.9415,1
1,2,1,0,0,0,-1,0,0,-0.0633,0
1,2,-1,0,0,0,1,0,0,0.7217,1
-1,0,1,0,0,0,0,0,0,0.2307,1
-1,0,1,0,0,0,-1,0,0,-1.7993,0
-1,0,-1,0,0,0,0,0,0,0.0143999999999998,0
-1,0,-1,0,0,0,0,0,0,-0.2009,-1
-1,0,-1,0,0,0,0,-1,0,0.0965000000000001,-1
1,-1,-1,0,-1,0,0,0,0,-0.0292,-1
1,-1,1,0,0,0,0,0,0,0.5456,1
1,-1,-1,0,0,1,1,0,0,0.0658,0
1,-1,-1,0,0,0,1,0,0,1.6188,1
1,-1,1,0,0,0,0,0,0,0.3151,1
1,-1,-1,0,0,1,1,0,0,0.0565,0
-1,-2,-1,0,0,0,0,0,-1,0.4065,0
-1,-2,-1,0,0,0,0,-1,0,-0.1691,-1
-1,-2,1,0,0,0,0,0,0,0.0214,0
-1,-2,-1,0,0,0,0,-1,0,-0.525,-1
-1,-2,-1,0,-1,0,0,-1,0,-0.0353999999999999,-1
-1,-2,1,0,1,0,0,1,0,-1.1097,-1
-1,-2,1,0,0,0,-1,0,0,0.4435,0
-1,-2,1,0,0,0,0,0,0,0.3647,-1
-1,-2,-1,0,-1,0,0,-1,0,-0.1909,-1
-1,-2,-1,0,0,0,0,-1,0,0.2178,-1
-1,-2,1,0,1,0,0,0,0,-0.0282,-1
-1,-2,-1,0,-1,0,0,0,0,-1.1478,-1
-1,-2,1,0,1,0,0,0,0,-0.7746,-1
-1,-2,1,0,0,0,-1,0,0,-0.4517,0
-1,-2,-1,-1,-1,0,0,0,0,-0.0274,-1
-1,-2,-1,0,-1,0,0,-1,0,1.3807,0
-1,-2,1,0,0,0,0,0,0,-0.6261,-1
-1,-2,-1,0,0,0,0,0,0,-0.3649,-1
1,-3,-1,0,0,0,0,0,0,-0.3602,-1
1,-3,1,0,0,0,0,0,0,0.1289,1
1,-3,-1,0,0,0,1,0,0,0.0992,1
1,-3,-1,0,0,1,1,0,0,0.1644,0
1,-3,-1,0,0,0,0,0,0,-0.1156,1
1,-3,1,0,0,0,0,0,0,0.1904,0
1,-3,1,0,0,0,0,1,0,0.7766,1
1,-3,1,0,1,0,0,1,0,0.0556999999999999,0
-1,-2,1,0,0,0,-1,0,0,-0.1427,0
-1,-2,-1,0,0,0,0,0,0,-0.5871,-1
-1,-2,1,0,0,0,-1,0,0,-0.6794,-1
-1,-2,-1,0,-1,0,0,-1,0,-0.4948,0
-1,-2,-1,0,-1,0,0,0,0,-0.8676,-1
-1,-2,1,0,0,0,-1,0,0,-0.7793,-1
-1,-2,1,0,0,0,-1,0,0,-0.5715,-1
-1,-2,-1,0,0,0,1,0,0,-0.1479,-1
1,-3,-1,-1,-1,0,0,0,0,-0.0864,-1
1,-3,-1,0,0,1,1,0,0,0.7567,0
1,-3,1,0,0,0,-1,0,0,-0.0937000000000001,0
1,-3,1,0,0,0,0,0,0,0.0815,1
1,-3,1,0,0,0,0,1,0,1.361,1
-1,-2,1,1,1,0,0,0,0,0,1
-1,-2,1,0,0,0,0,0,0,0.503099999999999,-1
-1,-2,1,0,0,-1,-1,0,0,-0.0679,0
-1,-2,-1,0,0,0,0,0,0,-0.1916,-1
-1,-2,1,0,0,0,0,0,0,0.0203,-1
-1,-2,-1,0,-1,0,0,0,0,-0.4619,-1
1,-1,1,0,0,0,-1,0,1,0.0484999999999999,-1
1,-1,1,0,0,0,0,0,0,-0.5338,1
1,-1,1,0,1,0,0,0,0,0.7174,0
1,-1,-1,0,0,1,1,0,0,0.1657,0
1,-1,1,0,0,0,0,0,0,0.0131,1
-1,0,1,0,0,0,0,0,0,0.1041,1
-1,0,-1,0,0,0,0,0,0,-0.3644,-1
-1,0,1,0,0,0,-1,0,0,-0.4889,-1
-1,0,-1,-1,-1,0,0,0,0,-0.069,-1
-1,0,-1,0,-1,0,0,-1,0,-0.7654,-1
1,-1,-1,0,0,0,1,0,0,-0.5426,0
1,-1,1,0,1,0,0,0,0,0.2105,0
1,-1,1,0,0,0,-1,0,0,0.00890000000000004,0
1,-1,-1,0,0,0,1,0,0,0.3053,1
1,-1,1,0,1,0,0,1,0,0.6517,1
1,-1,-1,0,0,0,0,0,0,-0.0838,1
1,-1,-1,0,0,0,0,0,0,0.6212,0
1,-1,1,0,1,0,0,0,0,0.4785,1
-1,0,1,0,0,0,0,0,0,0.0817,1
-1,0,-1,0,0,0,0,0,0,-0.8191,-1
-1,0,1,0,0,0,0,1,0,0.0666,0
-1,0,-1,0,-1,0,0,-1,0,-0.0811,-1
-1,0,1,0,0,0,0,0,0,-0.6175,-1
-1,0,1,0,0,0,-1,0,0,-1.0276,0
1,1,1,0,1,0,0,0,1,-0.1285,0
1,1,-1,0,0,0,1,0,0,-0.9648,0
1,1,1,0,0,0,0,1,0,0.3555,1
1,1,1,0,1,0,0,0,0,0.9138,0
1,1,-1,0,0,0,0,0,0,-0.0763,1
1,1,-1,0,-1,0,0,0,0,0.6405,1
1,1,1,0,0,0,0,0,0,-0.0547,1
1,1,1,0,0,0,0,0,0,2.029,1
-1,0,1,0,0,0,0,0,0,0.2751,1
-1,0,1,0,0,0,-1,0,0,-0.8353,0
-1,0,-1,0,0,0,0,0,0,-0.2587,-1
-1,0,-1,0,0,0,0,0,0,-1.6414,0
-1,0,1,0,0,0,0,0,0,-0.9112,0
-1,0,1,0,0,-1,-1,0,0,-0.0817,0
-1,0,-1,0,0,0,0,0,0,-0.1295,-1
-1,0,-1,0,0,0,0,0,0,-0.1727,-1
-1,0,1,0,0,0,0,0,0,-0.4037,0
-1,0,-1,0,0,0,0,0,0,-0.0430000000000001,-1
-1,0,1,0,0,0,0,1,0,0.2744,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0382,-1
1,-1,-1,0,0,0,1,0,0,-0.0723000000000003,0
1,-1,1,0,1,0,0,1,0,-0.2423,1
1,-1,1,0,0,0,0,0,0,0.1481,0
1,-1,1,0,1,0,0,0,0,0.3822,1
-1,0,1,0,0,0,0,0,0,0.013,1
-1,0,-1,0,0,0,0,0,0,0.1373,-1
-1,0,1,0,0,0,-1,0,0,-2.0774,0
-1,0,-1,0,-1,0,0,0,0,-1.0034,-1
-1,0,-1,0,0,0,0,0,0,-0.1319,-1
1,-1,-1,0,0,0,0,0,0,-0.9353,0
1,-1,1,0,0,0,0,1,0,0.4223,1
1,-1,1,0,1,0,0,0,0,0.3946,1
1,-1,-1,0,0,0,1,0,0,-0.2765,1
1,-1,1,0,0,0,-1,0,0,0.489,1
-1,0,1,0,0,0,0,0,0,0.1283,1
-1,0,-1,0,0,0,0,0,0,-0.0617,0
-1,0,-1,0,0,0,0,0,0,-0.1319,-1
-1,0,1,0,0,0,-1,0,0,-0.0403,0
-1,0,-1,-1,-1,0,0,0,0,-0.0444,-1
1,-1,-1,0,0,0,0,0,0,-0.1917,-1
1,-1,1,0,1,0,0,0,0,0.1485,1
1,-1,-1,0,0,0,0,0,0,-0.2819,0
1,-1,1,0,0,0,0,0,0,-0.1063,1
1,-1,1,0,0,0,0,0,0,0.142,1
-1,0,1,0,0,0,0,1,0,0.7642,1
-1,0,-1,0,0,0,0,0,0,-0.2086,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0448,-1
-1,0,-1,0,0,0,0,0,0,-0.2697,-1
1,-1,-1,-1,-1,0,0,0,0,-0.0682,-1
1,-1,-1,0,0,0,1,0,0,0.2469,1
1,-1,1,0,0,0,0,0,0,-0.0357,1
1,-1,-1,0,0,0,1,0,0,0.8559,1
1,-1,-1,0,0,0,1,0,0,0.1615,0
-1,-2,-1,0,0,0,1,0,-1,0.118,0
-1,-2,1,0,0,0,-1,0,0,-0.1027,0
-1,-2,-1,0,0,0,0,0,0,-0.1619,-1
-1,-2,1,0,0,0,-1,0,0,-0.1441,-1
-1,-2,-1,0,0,0,0,0,0,-0.554,-1
-1,-2,-1,0,0,0,0,0,0,-0.2155,-1
1,0,-1,0,0,0,0,-1,0,-0.3195,-1
1,0,1,0,1,0,0,0,0,-0.3373,1
1,0,1,0,0,0,0,1,0,0.4456,1
1,0,1,0,1,0,0,1,0,0.336,1
-1,1,1,0,1,0,0,0,0,0.0844,1
-1,1,-1,0,-1,0,0,-1,0,-0.0840999999999999,-1
-1,1,-1,0,-1,0,0,-1,0,-0.1829,-1
-1,1,1,0,0,-1,-1,0,0,-0.0038,0
-1,1,-1,0,0,0,1,0,0,0.3461,0
1,0,-1,-1,-1,0,0,0,0,-0.1303,-1
1,0,1,0,0,0,0,0,0,-0.272,1
1,0,1,1,1,0,0,0,0,0.0156,1
1,0,1,1,1,0,0,0,0,0.00539999999999999,1
-1,1,1,1,1,0,0,0,0,0.0283,1
-1,1,-1,-1,-1,0,0,0,0,-0.0832,-1
-1,1,-1,0,-1,0,0,0,0,-1.3645,0
-1,1,-1,0,0,0,1,0,0,-0.00330000000000004,0
1,0,-1,0,0,0,0,0,0,-0.3103,-1
1,0,1,0,1,0,0,1,0,0.0259,0
1,0,1,0,1,0,0,1,0,0.4059,1
1,0,1,0,0,0,-1,0,0,-0.0228999999999999,1
-1,1,1,0,0,0,0,0,0,-0.0569,1
-1,1,1,0,0,0,-1,0,0,-0.5348,0
-1,1,-1,0,-1,0,0,-1,0,-0.4675,0
-1,1,-1,0,-1,0,0,0,0,-0.8719,-1
-1,1,-1,-1,-1,0,0,0,0,-0.1069,-1
1,0,-1,0,0,0,0,0,0,-0.3095,-1
1,0,1,0,1,0,0,1,0,-0.00230000000000015,1
1,0,1,0,1,0,0,0,0,0.2993,1
1,0,1,0,0,0,0,0,0,0.0434,1
-1,1,1,0,0,0,-1,0,0,-0.1963,0
-1,1,-1,0,-1,0,0,0,0,-0.4344,-1
-1,1,1,0,0,0,0,0,0,-0.3612,-1
-1,1,-1,0,-1,0,0,0,0,-1.288,0
-1,1,-1,0,-1,0,0,-1,0,-0.1348,-1
-1,1,1,0,0,0,-1,0,0,-2.288,0
1,0,-1,0,0,0,1,0,0,0.0859,0
1,0,1,0,0,0,0,0,0,-0.0664,0
1,0,-1,0,0,1,1,0,0,0.0384,0
1,0,1,0,1,0,0,0,0,0.7469,1
1,0,-1,0,-1,0,0,0,0,-0.2532,1
1,0,1,0,0,0,0,0,0,0.0859999999999999,1
-1,1,1,1,1,0,0,0,0,0.00209999999999999,1
-1,1,-1,0,-1,0,0,0,0,-0.2583,0
-1,1,-1,0,-1,0,0,-1,0,-0.9794,-1
-1,1,1,0,1,0,0,0,0,-0.1511,0
-1,1,-1,0,0,0,0,0,0,-0.1217,-1
1,0,-1,0,-1,0,0,0,0,-0.0149,-1
1,0,1,0,0,0,-1,1,0,-0.2327,0
1,0,1,0,1,0,0,0,0,0.0462,1
1,0,1,0,1,0,0,0,0,0.4058,1
-1,1,1,0,0,0,0,0,0,0.2308,1
-1,1,-1,0,0,0,0,-1,0,-0.7641,-1
-1,1,1,0,0,0,-1,0,0,-0.5655,-1
-1,1,-1,0,0,0,1,0,0,-0.5016,-1
-1,1,-1,0,0,0,1,0,0,-0.3131,-1
1,0,-1,0,-1,0,0,-1,0,-0.1685,-1
-1,0,1,0,1,0,0,1,0,0.3774,1
-1,0,-1,0,0,0,0,0,0,-0.1425,-1
1,0,-1,0,0,0,0,0,0,-0.1367,-1
1,0,-1,0,0,0,0,0,0,0.767099999999999,0
-1,0,1,1,1,0,0,0,0,0.01,1
-1,0,-1,-1,-1,0,0,0,0,-0.1075,-1
1,0,-1,0,0,0,0,0,0,0.00179999999999989,-1
1,0,1,0,0,0,0,1,0,0.0249000000000001,1
-1,0,1,0,0,0,0,0,0,-0.0459,1
-1,0,-1,0,0,0,0,-1,0,-0.3933,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0254,-1
-1,0,-1,0,0,0,0,0,0,-0.2519,-1
-1,0,-1,0,0,0,1,0,0,-0.1705,0
-1,0,-1,0,0,0,0,-1,0,-0.0535999999999998,-1
-1,0,1,0,1,0,0,1,0,-1.0443,-1
-1,0,1,0,0,0,0,0,0,-0.2881,-1
1,-1,-1,0,0,0,0,0,0,-0.6697,-1
1,-1,-1,0,0,0,1,0,0,-0.0978,1
1,-1,1,1,1,0,0,0,0,0.0839,1
1,-1,1,1,1,0,0,0,0,0.012,1
1,-1,1,0,1,0,0,1,0,0.5429,1
-1,0,1,0,0,0,0,0,0,-0.1367,0
-1,0,1,0,0,0,-1,0,0,-0.3971,0
-1,0,1,0,0,0,-1,0,0,-0.4937,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0003,-1
-1,0,-1,0,0,0,1,0,0,0.1024,-1
-1,0,-1,0,0,0,1,0,0,-0.1748,0
1,-1,-1,0,-1,0,0,0,0,-1.0405,-1
1,-1,1,0,0,0,0,0,0,-0.185,1
1,-1,-1,0,-1,0,0,-1,0,0.8325,0
1,-1,1,1,1,0,0,0,0,0.0105,1
1,-1,1,0,0,0,0,1,0,-0.1793,1
-1,0,1,0,0,0,0,0,0,0.1429,1
-1,0,-1,0,0,0,0,0,0,-1.2579,0
-1,0,-1,0,0,0,1,0,0,-0.4416,0
-1,0,1,0,1,0,0,1,0,-0.7639,-1
-1,0,-1,0,0,0,0,0,0,-0.4953,-1
1,-1,-1,0,0,0,0,0,0,-0.0427,-1
1,-1,1,1,1,0,0,0,0,0.0079,1
1,-1,1,1,1,0,0,0,0,0.0133,1
1,-1,1,0,0,0,0,1,0,0.00930000000000017,1
-1,0,1,0,0,0,0,1,0,0.3087,1
-1,0,1,0,0,0,-1,0,0,0.0693999999999999,-1
-1,0,-1,0,0,0,0,0,0,-0.8994,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0185,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0188,-1
-1,0,1,0,0,0,-1,0,0,-0.814,-1
-1,0,1,0,0,0,0,0,0,-0.0914999999999999,0
-1,0,-1,0,0,0,0,0,0,-0.204,-1
1,-1,-1,-1,-1,0,0,0,0,-0.0575,-1
1,-1,-1,0,0,0,0,0,0,-0.2076,1
1,-1,-1,0,0,0,1,0,0,0.1479,1
1,-1,-1,0,0,0,1,0,0,0.0726000000000001,1
1,-1,1,0,0,0,0,0,0,0.1164,0
1,-1,1,0,0,0,-1,0,0,0.3114,1
1,-1,1,0,0,0,0,0,0,-0.027,0
1,-1,-1,0,-1,0,0,0,0,-0.2511,1
1,-1,1,0,0,0,0,1,0,-0.3839,1
1,-1,1,0,0,0,0,0,0,-0.2828,1
-1,0,1,0,0,0,0,0,0,0.3402,0
-1,0,1,0,0,0,-1,0,0,-2.2918,0
-1,0,-1,0,0,0,0,0,0,-0.194,-1
-1,0,-1,0,0,0,0,0,0,-0.6634,-1
-1,0,-1,0,-1,0,0,0,0,-0.2554,-1
-1,0,1,0,1,0,0,0,0,-0.4258,-1
-1,0,1,0,0,0,-1,1,0,-0.0306000000000001,0
-1,0,-1,0,0,0,0,-1,0,-1.7845,-1
1,-1,-1,0,-1,0,0,0,0,-0.3208,0
1,-1,1,0,0,0,0,0,0,0.0206,1
1,-1,1,0,1,0,0,0,0,0.3918,0
1,-1,1,0,0,0,0,0,0,0.5479,1
-1,0,1,0,0,0,0,0,0,-0.1047,1
-1,0,-1,0,-1,0,0,-1,0,-0.2144,-1
-1,0,-1,0,0,0,0,0,0,-0.7234,0
-1,0,1,0,0,0,0,0,0,-0.4045,0
-1,0,-1,-1,-1,0,0,0,0,-0.0261,-1
1,-1,-1,0,0,0,1,0,0,-0.5615,-1
1,-1,1,0,0,0,0,1,0,-0.0141999999999999,1
1,-1,1,1,1,0,0,0,0,0.0147,1
1,-1,-1,0,0,0,0,0,0,0.1413,1
1,-1,1,0,0,0,0,0,0,0.0607,1
-1,0,1,0,0,0,0,0,0,-0.1559,0
1,0,1,0,1,0,0,0,0,0.00599999999999881,0
1,0,-1,0,0,0,1,0,0,0.0797,1
