match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,timeseconds,spendtimeinlastfewshots,p1serveno,p2serveno,p1aceno,p2aceno,p1firstserveinnum,p2firstserveinnum,p1doublefaultnum,p2doublefaultnum,p1winnernum,p2winnernum,p1netnum,p2netnum,p1netwinnernum,p2netwinnernum,p1unforcederrornum,p2unforcederrornum,p1rundistance,p2rundistance,totalrallylengthinlastfewpoints,p1breakpointnum,p2breakpointnum,p1breakpointwinnum,p2breakpointwinnum,p1breakpointlosenum,p2breakpointlosenum
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:08:41,1,2,14,0,0,1,0,521,233,2,3,0,1,2,3,0,0,0,1,1,0,1,0,0,1,107.266,93.806,21,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:11,1,2,15,0,0,1,0,551,219,1,4,0,1,1,4,0,0,0,2,0,0,0,0,0,1,83.444,76.324,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:09:37,1,2,16,0,0,1,0,577,152,0,5,0,1,0,5,0,0,0,2,0,0,0,0,0,1,65.608,51.134,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:20,1,2,17,0,0,1,0,620,172,0,5,0,0,0,4,0,0,0,1,0,0,0,0,0,1,65.123,50.526,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:10:45,1,2,18,0,0,1,0,645,159,0,5,0,0,0,4,0,0,0,1,0,0,0,0,0,1,50.624,37.781,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:24,1,3,19,0,0,1,1,684,163,0,5,0,0,0,4,0,0,0,2,0,1,0,1,0,0,39.805,35.749,10,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:11:47,1,3,20,0,0,1,1,707,156,1,4,1,0,1,3,0,0,1,1,0,1,0,1,0,0,30.037,29.71,8,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:17,1,3,21,0,0,1,1,737,160,2,3,1,0,2,2,0,0,1,1,0,1,0,1,0,0,44.726,62.229,12,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:12:44,1,3,22,0,0,1,1,764,144,3,2,1,0,3,2,0,0,1,1,0,1,0,1,0,0,46.714,68.74,12,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:13:26,1,3,23,0,0,1,1,806,161,4,1,1,0,4,1,0,0,1,1,0,1,0,1,0,1,83.635,96.185,20,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:15:31,1,4,24,0,0,2,1,931,247,5,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,72.223,84.07,18,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:15,1,4,25,0,0,2,1,975,268,4,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,83.925,96.71,20,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:16:47,1,4,26,0,0,2,1,1007,270,3,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,80.762,75.93,18,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:08,1,4,27,0,0,2,1,1028,264,2,3,0,1,1,2,0,0,0,1,0,0,0,0,1,1,74.377,66.179,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:17:49,1,5,28,0,0,2,2,1069,263,1,4,0,1,0,3,0,0,0,2,0,0,0,0,1,0,52.238,40.637,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:25,1,5,29,0,0,2,2,1105,174,1,4,0,1,1,3,0,0,1,2,0,0,0,0,1,0,63.808,65.524,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:18:50,1,5,30,0,0,2,2,1130,155,2,3,0,1,2,3,0,0,1,2,0,0,0,0,0,0,55.492,60.087,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:19:20,1,5,31,0,0,2,2,1160,153,3,2,0,1,3,2,0,0,1,2,1,0,1,0,0,0,52.541,58.634,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:03,1,5,32,0,0,2,2,1203,175,4,1,0,0,3,1,0,0,1,1,1,0,1,0,1,0,57.247,64.532,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:20:55,1,5,33,0,0,2,2,1255,186,5,0,0,0,3,0,0,0,1,0,1,0,1,0,1,0,45.738,69.87,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:21:27,1,5,34,0,0,2,2,1287,182,5,0,0,0,3,0,0,0,0,0,1,0,1,0,2,0,39.245,51.943,10,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:22:19,1,5,35,0,0,2,2,1339,209,5,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0,65.742,69.267,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:22,1,6,36,0,0,3,2,1462,302,5,0,0,0,2,0,0,0,0,0,2,0,2,0,2,0,60.592,66.318,12,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:24:53,1,6,37,0,0,3,2,1493,290,4,1,0,0,2,1,0,0,0,0,2,0,2,0,1,0,62.792,65.463,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:05,1,6,38,0,0,3,2,1565,310,3,2,0,0,2,1,0,0,0,0,2,0,2,0,1,1,83.368,82.316,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:30,1,6,39,0,0,3,2,1590,303,2,3,0,0,1,2,0,0,0,0,2,0,2,0,0,1,81.324,76.066,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:26:56,1,6,40,0,0,3,2,1616,277,1,4,0,0,1,3,0,0,0,0,1,0,1,0,0,1,53.22,53.083,10,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:27:42,1,7,41,0,0,3,3,1662,200,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,51.439,48.176,10,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:28:37,1,7,42,0,0,3,3,1717,224,1,4,0,0,0,2,0,0,1,0,0,1,0,0,0,1,77.863,74.743,18,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:06,1,7,43,0,0,3,3,1746,181,2,3,0,0,1,2,0,0,1,0,0,2,0,0,0,1,58.641,64.288,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:29:32,1,7,44,0,0,3,3,1772,182,3,2,0,0,2,1,0,0,2,0,0,2,0,0,0,1,58.103,70.142,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:30:17,1,7,45,0,0,3,3,1817,201,4,1,0,0,2,0,0,0,2,0,0,2,0,0,0,1,73.501,86.189,22,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:32:34,1,8,46,0,0,4,3,1954,292,5,0,0,0,2,0,0,0,2,0,0,3,0,0,0,1,100.185,106.846,26,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:32:57,1,8,47,0,0,4,3,1977,260,4,1,0,0,2,1,0,0,1,0,0,2,0,0,0,1,71.831,79.022,18,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:33:33,1,8,48,0,0,4,3,2013,267,3,2,0,0,1,1,0,1,1,0,0,1,0,0,0,1,62.888,60.814,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:33:58,1,8,49,0,0,4,3,2038,266,2,3,0,1,0,2,0,1,0,1,0,1,0,0,0,1,58.038,50.62,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:34:46,1,8,50,0,0,4,3,2086,269,1,4,0,1,0,2,0,1,0,1,0,1,0,0,0,2,57.8,50.42,13,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:36:02,1,8,51,0,0,4,3,2162,208,0,5,0,1,0,2,0,1,1,1,0,1,0,0,0,2,87.854,79.452,24,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:18,1,9,52,0,0,5,3,2238,261,0,5,0,1,0,1,0,1,1,1,0,1,0,0,0,3,111.652,93.72,29,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:37:44,1,9,53,0,0,5,3,2264,251,1,4,0,1,1,1,0,0,1,1,0,1,0,0,0,2,114.064,97.515,30,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:26,1,9,54,0,0,5,3,2306,268,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,2,118.165,104.19,31,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:38:54,1,9,55,0,0,5,3,2334,248,3,2,0,0,2,0,0,0,1,0,0,1,0,0,0,1,104.554,91.842,26,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:39:29,1,9,56,0,0,5,3,2369,207,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,54.427,49.188,14,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:40:01,1,9,57,0,0,5,3,2401,163,5,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,36.09,41.586,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:40:33,1,9,58,0,0,5,3,2433,169,5,0,0,0,4,0,0,0,0,0,3,0,1,0,1,0,42.048,44.938,12,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:41:23,1,9,59,0,0,5,3,2483,177,5,0,0,0,5,0,0,0,0,0,3,1,1,0,1,0,67.948,67.165,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:42:31,1,9,60,0,0,5,3,2551,217,5,0,0,0,4,0,0,0,0,1,3,2,1,1,1,0,80.235,79.011,20,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:43:18,1,9,61,0,0,5,3,2598,229,5,0,0,0,4,0,0,0,0,2,2,3,1,2,1,0,90.463,90.72,22,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:43:59,1,9,62,0,0,5,3,2639,238,5,0,0,0,4,0,0,0,1,2,1,3,0,2,1,0,97.828,107.46,26,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:44:29,1,9,63,0,0,5,3,2669,236,5,0,0,0,4,0,0,0,1,2,0,3,0,2,0,0,90.638,102.523,25,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:04,2,1,64,1,0,0,0,2824,341,5,0,0,0,4,0,0,0,1,2,1,2,1,2,0,1,75.802,92.378,21,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:27,2,1,65,1,0,0,0,2847,296,4,1,0,1,4,1,0,0,1,2,1,1,1,1,0,1,60.909,75.259,18,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:47:52,2,1,66,1,0,0,0,2872,274,3,2,0,2,3,2,0,0,1,2,1,0,1,0,0,1,39.923,52.712,13,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:48:17,2,1,67,1,0,0,0,2897,258,2,3,0,2,2,3,0,0,0,2,1,1,1,1,0,1,24.837,28.271,7,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:49:17,2,2,68,1,0,0,1,2957,288,1,4,0,2,1,4,0,0,0,2,1,1,1,1,0,1,32.058,31.602,7,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:49:38,2,2,69,1,0,0,1,2978,154,1,4,1,2,1,4,0,0,1,2,0,1,0,1,0,0,16.293,13.011,5,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:50:14,2,2,70,1,0,0,1,3014,167,2,3,1,1,1,3,0,0,1,1,0,1,0,1,0,0,17.426,15.883,5,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:51:10,2,2,71,1,0,0,1,3070,198,3,2,1,0,1,2,0,0,1,1,0,1,0,1,0,0,19.844,18.82,6,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:51:54,2,2,72,1,0,0,1,3114,217,4,1,1,0,2,1,0,0,1,1,0,0,0,0,1,0,51.705,55.173,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:52:21,2,2,73,1,0,0,1,3141,184,5,0,2,0,3,0,0,0,2,1,0,0,0,0,1,0,43.199,50.384,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:53:06,2,2,74,1,0,0,1,3186,208,5,0,1,0,2,0,0,0,1,1,0,0,0,0,2,0,54.046,62.612,18,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:54:11,2,2,75,1,0,0,1,3251,237,5,0,1,0,2,0,0,0,1,1,0,0,0,0,3,0,58.786,68.119,19,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:54:56,2,3,76,1,0,0,2,3296,226,5,0,1,0,3,0,0,0,1,0,0,0,0,0,3,0,63.707,74.908,19,0,1,0,1,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:55:20,2,3,77,1,0,0,2,3320,206,4,1,1,0,2,1,0,0,1,0,0,0,0,0,2,0,36.352,42.192,8,0,1,0,1,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:55:50,2,3,78,1,0,0,2,3350,209,3,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,45.24,51.57,8,0,1,0,1,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:57:08,2,3,79,1,0,0,2,3428,242,2,3,0,0,1,3,0,0,0,1,0,0,0,0,1,0,44.354,43.404,9,0,1,0,1,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:59:22,2,4,80,1,0,0,3,3562,311,1,4,0,0,1,3,0,0,0,1,0,0,0,0,1,0,69.904,69.428,14,0,1,0,1,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:00:17,2,4,81,1,0,0,3,3617,321,1,4,0,0,0,3,0,0,0,1,0,0,0,0,1,0,116.593,102.855,22,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:00:41,2,4,82,1,0,0,3,3641,321,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,0,114.481,104.573,22,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:01:21,2,4,83,1,0,0,3,3681,331,3,2,1,0,2,1,0,0,1,1,0,0,0,0,1,0,105.53,94.452,22,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:02:05,2,4,84,1,0,0,3,3725,297,4,1,1,0,3,0,0,0,1,0,0,0,0,0,1,0,152.586,130.251,27,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:02:54,2,4,85,1,0,0,3,3774,212,5,0,1,0,3,0,0,0,1,1,0,1,0,1,0,0,132.519,110.563,24,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:03:50,2,4,86,1,0,0,3,3830,213,5,0,1,0,3,0,0,0,1,1,0,1,0,1,0,1,87.014,78.862,17,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:04:21,2,4,87,1,0,0,3,3861,220,5,0,1,0,3,0,0,0,1,1,0,1,0,1,0,2,95.307,87.693,19,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:05:38,2,5,88,1,0,1,3,3938,257,5,0,0,0,2,0,0,0,0,1,0,1,0,1,0,2,141.286,125.702,29,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:06:16,2,5,89,1,0,1,3,3976,251,4,1,0,0,1,1,0,0,0,2,0,1,0,1,0,2,114.641,100.003,26,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:06:46,2,5,90,1,0,1,3,4006,232,3,2,0,0,1,2,0,0,0,1,0,1,0,1,0,2,112.937,91.873,23,0,1,0,0,0,1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:07:42,2,5,91,1,0,1,3,4062,232,2,3,0,0,1,2,0,0,1,1,0,2,0,1,0,1,125.985,95.692,26,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:08:26,2,5,92,1,0,1,3,4106,245,1,4,0,0,0,3,0,0,1,1,0,2,0,1,0,1,148.368,105.005,31,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:09:19,2,5,93,1,0,1,3,4159,221,0,5,0,0,0,4,0,0,1,1,0,2,0,1,0,2,141.457,98.665,30,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:10:24,2,5,94,1,0,1,3,4224,248,0,5,0,0,0,4,0,0,1,0,0,3,0,2,0,2,141.041,108.435,30,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:11:30,2,5,95,1,0,1,3,4290,284,0,5,0,0,0,3,0,0,1,0,0,2,0,1,0,2,169.671,139.631,39,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:12:08,2,5,96,1,0,1,3,4328,266,0,5,0,0,0,4,0,0,0,0,0,2,0,2,0,2,174.165,136.246,36,2,0,0,0,2,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:12:37,2,5,97,1,0,1,3,4357,251,0,5,0,0,0,4,0,0,0,0,0,2,0,2,0,1,143.687,113.592,29,2,0,0,0,2,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:14:48,2,6,98,1,0,1,4,4488,329,0,5,0,0,0,4,0,0,0,1,0,3,0,3,0,0,124.487,97.41,24,2,0,0,0,2,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:15:27,2,6,99,1,0,1,4,4527,303,1,4,0,0,0,3,0,0,0,1,0,2,0,2,0,0,100.071,87.08,21,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:15:55,2,6,100,1,0,1,4,4555,265,2,3,0,0,1,3,0,0,0,1,0,2,0,2,0,0,64.884,54.532,12,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:16:53,2,6,101,1,0,1,4,4613,285,3,2,0,0,1,2,0,0,0,1,0,1,0,1,1,0,43.53,48.028,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:17:22,2,6,102,1,0,1,4,4642,285,4,1,0,0,2,1,0,0,0,1,0,1,0,1,1,0,39.895,47.567,11,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:17:48,2,6,103,1,0,1,4,4668,180,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,31.618,50.653,7,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:18:30,2,6,104,1,0,1,4,4710,183,5,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,54.631,83.932,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:19:01,2,6,105,1,0,1,4,4741,186,5,0,0,0,4,0,0,0,1,1,1,0,1,0,1,0,57.59,94.305,17,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:19:57,2,7,106,1,0,2,4,4797,184,5,0,0,0,4,0,0,0,2,1,1,0,1,0,0,0,52.733,89.216,16,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:20:31,2,7,107,1,0,2,4,4831,189,4,1,0,0,3,1,0,0,2,1,1,0,1,0,0,1,68.011,98.79,19,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:21:06,2,7,108,1,0,2,4,4866,198,3,2,0,0,2,2,0,0,2,1,1,0,1,0,1,1,73.036,93.272,21,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:21:41,2,7,109,1,0,2,4,4901,191,2,3,0,0,1,3,0,0,2,0,1,0,1,0,2,1,58.108,62.984,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:22:15,2,7,110,1,0,2,4,4935,194,1,4,0,0,0,4,0,0,1,1,0,1,0,1,2,1,63.56,57.333,14,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:22:46,2,7,111,1,0,2,4,4966,169,0,5,0,0,0,5,0,0,0,1,0,1,0,1,2,1,103.108,70.934,15,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:23:58,2,7,112,1,0,2,4,5038,207,0,5,0,0,0,4,0,0,0,1,0,2,0,1,2,1,135.329,96.793,19,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:25:01,2,7,113,1,0,2,4,5101,235,0,5,0,0,0,3,0,0,0,1,0,2,0,1,1,2,151.094,111.108,24,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:25:32,2,7,114,1,0,2,4,5132,231,0,5,0,0,0,3,0,0,0,1,0,2,0,1,0,2,148.078,99.477,22,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:26:17,2,7,115,1,0,2,4,5177,242,0,5,0,0,0,3,0,0,0,1,0,2,0,1,0,2,167.488,115.055,26,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:26:59,2,7,116,1,0,2,4,5219,253,0,5,0,0,0,3,0,0,0,1,0,3,0,1,0,3,142.351,112.743,28,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:28:28,2,7,117,1,0,2,4,5308,270,0,5,0,0,0,3,0,0,0,1,0,3,0,1,0,2,118.309,95.109,26,1,0,0,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:30:29,2,8,118,1,0,3,4,5429,328,0,5,0,0,0,4,0,0,0,1,0,3,0,1,0,2,95.001,73.493,20,2,0,1,0,1,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:30:48,2,8,119,1,0,3,4,5448,316,1,4,0,0,1,3,0,0,0,1,0,3,0,1,0,2,85.953,71.417,20,1,0,1,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,01:31:21,2,8,120,1,0,3,4,5481,304,2,3,0,0,1,2,0,0,0,0,0,2,0,0,0,2,56.573,49.034,14,1,0,1,0,0,0
